Zeit,Breitengrad,Längengrad,Höhe,Speed,Genauigkeit
1544191381688,N 51° 27' 17,59248",E 7° 17' 3,29244",0.0,0.0,1200.0
1544191387429,N 51° 26' 54,18348",E 7° 16' 11,46036",163.8636907124892,2.685624,84.363
1544191388559,N 51° 26' 54,159",E 7° 16' 11,46756",0.0,2.685788,64.891
1544191389534,N 51° 26' 54,1302",E 7° 16' 11,47332",0.0,2.685788,56.997
1544191390750,N 51° 26' 54,10896",E 7° 16' 11,47584",0.0,1.880051,52.79
1544191391760,N 51° 26' 54,09204",E 7° 16' 11,47188",0.0,1.64711,50.261
1544191392885,N 51° 26' 54,09312",E 7° 16' 11,46576",0.0,0.0,47.245
1544191393845,N 51° 26' 54,10752",E 7° 16' 11,46108",255.791671753,1.292054,47.465
1544191394876,N 51° 26' 54,08232",E 7° 16' 11,45352",242.740112305,1.32236,46.45
1544191395844,N 51° 26' 54,0744",E 7° 16' 11,46036",239.02432251,1.133992,42.613
1544191396841,N 51° 26' 54,07872",E 7° 16' 11,46936",234.359024048,1.002055,41.0
1544191397843,N 51° 26' 54,03552",E 7° 16' 11,88192",232.913604736,1.152624,41.922
1544191398829,N 51° 26' 53,98944",E 7° 16' 12,21708",231.428100586,1.23172,43.257
1544191399836,N 51° 26' 53,93868",E 7° 16' 12,4842",229.904190063,1.291634,44.988
1544191400846,N 51° 26' 53,91744",E 7° 16' 12,71496",0.0,1.322085,46.383
1544191401826,N 51° 26' 53,88108",E 7° 16' 12,8982",0.0,1.349707,47.48
1544191402840,N 51° 26' 53,8548",E 7° 16' 13,03968",0.0,1.156309,48.325
1544191403843,N 51° 26' 53,83572",E 7° 16' 13,152",0.0,1.020368,48.967
1544191404892,N 51° 26' 53,84112",E 7° 16' 13,23984",0.0,1.143192,49.451
1544191405841,N 51° 26' 53,82636",E 7° 16' 13,30356",0.0,1.225625,49.81
1544191406835,N 51° 26' 53,81592",E 7° 16' 13,35828",0.0,1.273909,50.074
1544191407825,N 51° 26' 53,80872",E 7° 16' 13,3968",0.0,1.310023,50.268
1544191408827,N 51° 26' 53,8224",E 7° 16' 13,4256",0.0,1.335332,50.412
1544191409859,N 51° 26' 53,81376",E 7° 16' 13,44432",0.0,1.354247,50.517
1544191410860,N 51° 26' 53,80764",E 7° 16' 13,45872",0.0,1.158893,50.593
1544191411841,N 51° 26' 53,80368",E 7° 16' 13,46196",0.0,1.016433,50.647
1544191412843,N 51° 26' 53,81952",E 7° 16' 13,47276",0.0,1.130685,50.688
1544191413875,N 51° 26' 53,81196",E 7° 16' 13,48788",0.0,1.21699,50.718
1544191414839,N 51° 26' 53,82528",E 7° 16' 13,49472",0.0,1.278075,50.737
1544191415823,N 51° 26' 53,81664",E 7° 16' 13,50588",0.0,1.322692,50.752
1544191416843,N 51° 26' 53,82888",E 7° 16' 13,50876",0.0,1.352671,50.766
1544191417843,N 51° 26' 53,81916",E 7° 16' 13,51596",0.0,1.369995,50.775
