Zeit,Breitengrad,Längengrad,Höhe,Speed,Genauigkeit
1544190597595,N 51° 27' 17,59248",E 7° 17' 3,29244",0.0,0.0,1200.0
1544190602676,N 51° 27' 0,56376",E 7° 16' 31,55664",0.0,0.0,1000.0
1544190604847,N 51° 26' 52,61316",E 7° 16' 14,70468",186.26423023175448,0.6913036,19.0
1544190605784,N 51° 26' 52,6218",E 7° 16' 14,7198",190.284352398,0.57912,15.777
1544190606805,N 51° 26' 52,62396",E 7° 16' 14,73564",175.380569458,0.692398,14.259
1544190607783,N 51° 26' 52,62828",E 7° 16' 14,78928",186.179168701,0.693911,13.397
1544190608881,N 51° 26' 52,629",E 7° 16' 14,87064",181.940536499,0.695896,12.862
1544190609839,N 51° 26' 52,6146",E 7° 16' 14,97936",181.351867676,1.252578,11.638
1544190610839,N 51° 26' 52,61028",E 7° 16' 15,05712",181.764007568,0.0,9.776
1544190611838,N 51° 26' 52,56744",E 7° 16' 15,21372",182.107513428,1.349142,7.137
1544190612850,N 51° 26' 52,53072",E 7° 16' 15,36996",181.838912964,1.172612,5.529
1544190613843,N 51° 26' 52,5048",E 7° 16' 15,5478",181.626144409,1.105214,4.769
1544190614837,N 51° 26' 52,4976",E 7° 16' 15,67164",181.557662964,1.238418,4.232
1544190615854,N 51° 26' 52,49076",E 7° 16' 15,79152",181.484390259,1.380621,3.967
1544190616839,N 51° 26' 52,48752",E 7° 16' 15,89232",180.812316895,1.570309,3.772
1544190617855,N 51° 26' 52,48752",E 7° 16' 15,97872",180.604629517,1.733133,3.746
1544190618858,N 51° 26' 52,503",E 7° 16' 16,03056",180.511413574,1.83798,3.678
1544190619865,N 51° 26' 52,51668",E 7° 16' 16,10472",180.580566406,1.852099,3.482
1544190620843,N 51° 26' 52,52784",E 7° 16' 16,16736",181.047988892,1.646508,3.322
1544190621850,N 51° 26' 52,5444",E 7° 16' 16,22568",181.412384033,1.531551,3.217
1544190622841,N 51° 26' 52,57104",E 7° 16' 16,25592",181.357131958,1.672444,3.347
1544190623843,N 51° 26' 52,60524",E 7° 16' 16,3218",181.769790649,1.778817,3.407
1544190624887,N 51° 26' 52,63692",E 7° 16' 16,38768",181.47354126,1.923488,3.415
1544190625845,N 51° 26' 52,68012",E 7° 16' 16,4604",181.307510376,1.989176,3.387
1544190626875,N 51° 26' 52,73196",E 7° 16' 16,50108",181.037734985,1.956208,3.419
1544190627837,N 51° 26' 52,77552",E 7° 16' 16,5738",180.869049072,1.720748,3.445
1544190628829,N 51° 26' 52,81728",E 7° 16' 16,6404",180.165512085,1.546598,3.469
1544190629880,N 51° 26' 52,8594",E 7° 16' 16,70232",178.427078247,1.63719,3.549
1544190630842,N 51° 26' 52,91412",E 7° 16' 16,72392",178.075561523,1.710311,3.378
1544190631827,N 51° 26' 52,92276",E 7° 16' 16,8042",177.603256226,1.799607,3.988
1544190632863,N 51° 26' 52,92708",E 7° 16' 16,88268",176.951400757,1.771371,4.609
1544190633827,N 51° 26' 52,94544",E 7° 16' 16,92372",176.413528442,1.733032,5.319
1544190634875,N 51° 26' 52,9692",E 7° 16' 17,0058",175.705825806,1.723473,5.982
1544190635855,N 51° 26' 53,00808",E 7° 16' 17,08896",175.163528442,1.496948,6.542
1544190636833,N 51° 26' 53,08152",E 7° 16' 17,1822",174.551620483,1.366317,6.823
1544190637827,N 51° 26' 53,16468",E 7° 16' 17,25312",174.008178711,1.453773,6.906
1544190638832,N 51° 26' 53,24568",E 7° 16' 17,36976",173.504150391,1.504761,6.774
1544190639843,N 51° 26' 53,31444",E 7° 16' 17,48604",173.02696228,1.52655,6.524
1544190640847,N 51° 26' 53,3706",E 7° 16' 17,60016",172.384155273,1.52073,6.211
1544190641852,N 51° 26' 53,41596",E 7° 16' 17,68548",171.860595703,1.509471,5.9
1544190642843,N 51° 26' 53,43936",E 7° 16' 17,79996",171.526535034,1.503006,5.633
1544190643853,N 51° 26' 53,45628",E 7° 16' 17,9076",171.183563232,1.291862,5.329
1544190644859,N 51° 26' 53,46528",E 7° 16' 18,0066",170.854553223,1.152849,5.064
1544190645843,N 51° 26' 53,475",E 7° 16' 18,07572",170.59753418,1.260522,4.847
1544190646860,N 51° 26' 53,45196",E 7° 16' 18,138",170.769393921,1.329694,4.628
1544190647835,N 51° 26' 53,44044",E 7° 16' 18,18732",170.702484131,1.367446,4.43
1544190648877,N 51° 26' 53,4228",E 7° 16' 18,23304",170.493179321,1.183869,4.327
1544190649837,N 51° 26' 53,38536",E 7° 16' 18,28092",170.330291748,1.028856,4.292
1544190650875,N 51° 26' 53,36916",E 7° 16' 18,30792",170.096313477,1.129015,4.336
1544190651867,N 51° 26' 53,32992",E 7° 16' 18,34284",170.012878418,1.198453,4.375
1544190652874,N 51° 26' 53,31228",E 7° 16' 18,3828",169.859634399,1.218765,4.437
1544190653877,N 51° 26' 53,29392",E 7° 16' 18,41808",169.925857544,1.032261,4.395
1544190654844,N 51° 26' 53,25576",E 7° 16' 18,43968",169.975875854,0.949549,4.38
1544190655834,N 51° 26' 53,23848",E 7° 16' 18,46056",170.423187256,1.135548,4.39
1544190656853,N 51° 26' 53,21652",E 7° 16' 18,47928",170.669967651,1.238267,4.476
1544190657836,N 51° 26' 53,1726",E 7° 16' 18,49332",170.923995972,1.276752,4.59
1544190658852,N 51° 26' 53,13516",E 7° 16' 18,4998",171.373703003,1.087937,4.689
1544190659837,N 51° 26' 53,10096",E 7° 16' 18,50304",171.499893188,1.170114,4.778
1544190660867,N 51° 26' 53,06964",E 7° 16' 18,52032",171.461029053,1.215995,4.832
1544190661887,N 51° 26' 53,06316",E 7° 16' 18,5448",171.369873047,1.038814,4.876
1544190662838,N 51° 26' 53,05272",E 7° 16' 18,56424",171.010757446,1.13745,5.064
1544190663864,N 51° 26' 53,04192",E 7° 16' 18,5916",170.849639893,1.194978,5.154
1544190664896,N 51° 26' 53,00592",E 7° 16' 18,62184",171.517501831,1.24992,5.293
1544190665847,N 51° 26' 52,97136",E 7° 16' 18,65712",171.392181396,1.296476,5.458
1544190666844,N 51° 26' 52,95624",E 7° 16' 18,68628",171.306594849,1.323056,5.707
1544190667880,N 51° 26' 52,91592",E 7° 16' 18,69888",171.376998901,1.352886,6.008
1544190668843,N 51° 26' 52,8756",E 7° 16' 18,71364",171.575027466,1.171134,6.323
1544190669890,N 51° 26' 52,83708",E 7° 16' 18,73128",171.587493896,1.038574,6.603
1544190670880,N 51° 26' 52,82052",E 7° 16' 18,75756",171.655380249,1.152566,6.735
1544190671842,N 51° 26' 52,7802",E 7° 16' 18,7608",171.887649536,1.224724,7.017
1544190672833,N 51° 26' 52,74312",E 7° 16' 18,75216",171.82093811,1.275878,7.327
1544190673833,N 51° 26' 52,72296",E 7° 16' 18,7662",171.92755127,1.31546,7.526
1544190674864,N 51° 26' 52,68192",E 7° 16' 18,76008",171.806655884,1.138178,7.687
1544190675814,N 51° 26' 52,64196",E 7° 16' 18,76584",171.882858276,1.014512,7.687
1544190676848,N 51° 26' 52,61208",E 7° 16' 18,80184",172.40184021,1.14825,7.713
1544190677851,N 51° 26' 52,5606",E 7° 16' 18,83352",172.40184021,1.230102,7.512
1544190678842,N 51° 26' 52,50984",E 7° 16' 18,8724",172.40184021,1.278903,7.445
1544190679845,N 51° 26' 52,47996",E 7° 16' 18,91236",172.43069458,1.315777,7.648
1544190680841,N 51° 26' 52,42884",E 7° 16' 18,94512",172.417404175,1.135895,7.757
1544190681818,N 51° 26' 52,37988",E 7° 16' 18,984",172.190689087,1.018187,7.818
1544190682845,N 51° 26' 52,33092",E 7° 16' 19,02432",171.870880127,1.15276,7.728
1544190683834,N 51° 26' 52,2978",E 7° 16' 19,07472",171.777160645,1.250117,7.657
1544190684869,N 51° 26' 52,2402",E 7° 16' 19,11756",172.06993103,1.33287,7.627
1544190685831,N 51° 26' 52,18044",E 7° 16' 19,1622",172.037353516,1.401374,7.535
1544190686830,N 51° 26' 52,1196",E 7° 16' 19,20936",172.044250488,1.433924,7.489
1544190687817,N 51° 26' 52,07316",E 7° 16' 19,27812",171.946243286,1.462645,7.309
1544190688831,N 51° 26' 52,0044",E 7° 16' 19,33752",171.975265503,1.478235,7.118
1544190689867,N 51° 26' 51,93888",E 7° 16' 19,39656",171.966796875,1.280243,6.84
1544190690827,N 51° 26' 51,8712",E 7° 16' 19,46208",172.182235718,1.173683,6.529
1544190691846,N 51° 26' 51,79704",E 7° 16' 19,53516",172.137878418,1.310127,6.069
1544190692843,N 51° 26' 51,7362",E 7° 16' 19,60896",172.082275391,1.395472,5.679
1544190693826,N 51° 26' 51,6516",E 7° 16' 19,67952",172.088302612,1.455513,5.291
1544190694824,N 51° 26' 51,5724",E 7° 16' 19,74144",172.372024536,1.488978,4.961
1544190695845,N 51° 26' 51,4986",E 7° 16' 19,7994",172.535247803,1.497721,4.686
1544190696881,N 51° 26' 51,44496",E 7° 16' 19,84728",172.695159912,1.498239,4.481
1544190697847,N 51° 26' 51,37224",E 7° 16' 19,89228",172.816970825,1.501253,4.3
1544190698847,N 51° 26' 51,30492",E 7° 16' 19,93512",172.702407837,1.295573,4.146
1544190699832,N 51° 26' 51,24192",E 7° 16' 19,97292",172.612640381,1.15984,4.019
1544190700867,N 51° 26' 51,17928",E 7° 16' 20,01504",172.199981689,1.284897,3.918
1544190701840,N 51° 26' 51,13464",E 7° 16' 20,05716",171.800048828,1.373088,3.845
1544190702840,N 51° 26' 51,06624",E 7° 16' 20,0982",171.467468262,1.428506,3.789
1544190703833,N 51° 26' 50,99856",E 7° 16' 20,1414",171.256149292,1.473052,3.741
1544190704840,N 51° 26' 50,93196",E 7° 16' 20,18964",171.041503906,1.503909,3.699
1544190705837,N 51° 26' 50,86932",E 7° 16' 20,23932",170.822021484,1.520076,3.78
1544190706864,N 51° 26' 50,82684",E 7° 16' 20,29152",170.652709961,1.502113,3.774
1544190707823,N 51° 26' 50,76744",E 7° 16' 20,33904",170.556427002,1.269577,3.794
1544190708842,N 51° 26' 50,71488",E 7° 16' 20,37612",170.450576782,1.114119,3.833
1544190709815,N 51° 26' 50,68428",E 7° 16' 20,41968",170.870391846,1.220665,3.902
1544190710846,N 51° 26' 50,63136",E 7° 16' 20,47224",171.193313599,1.301206,3.93
1544190711832,N 51° 26' 50,59788",E 7° 16' 20,51544",171.430877686,1.352941,3.944
1544190712838,N 51° 26' 50,54136",E 7° 16' 20,5446",171.798843384,1.39114,3.906
1544190713838,N 51° 26' 50,48916",E 7° 16' 20,55252",172.093490601,1.403334,3.973
1544190714834,N 51° 26' 50,45892",E 7° 16' 20,55864",172.135604858,1.410419,4.039
1544190715828,N 51° 26' 50,41284",E 7° 16' 20,53848",172.368621826,1.209723,4.035
1544190716842,N 51° 26' 50,36532",E 7° 16' 20,52228",172.69758606,1.071297,4.071
1544190717848,N 51° 26' 50,32752",E 7° 16' 20,5338",172.93737793,1.186676,4.035
1544190718829,N 51° 26' 50,27352",E 7° 16' 20,51256",173.107254028,1.261382,3.99
1544190719840,N 51° 26' 50,22924",E 7° 16' 20,47584",172.798446655,1.320287,3.921
1544190720838,N 51° 26' 50,1954",E 7° 16' 20,42724",172.939453125,1.361383,3.841
1544190721857,N 51° 26' 50,1666",E 7° 16' 20,39952",172.730697632,1.392172,3.776
1544190722865,N 51° 26' 50,13096",E 7° 16' 20,33292",172.537200928,1.212183,3.697
1544190723841,N 51° 26' 50,09604",E 7° 16' 20,2674",171.771255493,1.085317,3.772
1544190724856,N 51° 26' 50,05752",E 7° 16' 20,235",171.752685547,1.202657,3.693
1544190725855,N 51° 26' 50,01",E 7° 16' 20,16948",171.715698242,1.28371,3.643
1544190726846,N 51° 26' 49,94916",E 7° 16' 20,12088",171.774505615,1.346998,3.609
1544190727836,N 51° 26' 49,9002",E 7° 16' 20,09604",172.008575439,1.406646,3.629
1544190728857,N 51° 26' 49,83036",E 7° 16' 20,055",172.20513916,1.45321,3.63
1544190729859,N 51° 26' 49,76304",E 7° 16' 20,019",172.442016602,1.274434,3.619
1544190730848,N 51° 26' 49,69716",E 7° 16' 19,99236",172.449127197,1.14366,3.604
1544190731846,N 51° 26' 49,64676",E 7° 16' 19,9866",172.224273682,1.264065,3.617
