Zeit,Breitengrad,Längengrad,Höhe,Speed,Genauigkeit
1544190993278,N 51° 27' 0,693",E 7° 16' 10,38288",0.0,0.0,1399.999
1544190998345,N 51° 27' 17,59248",E 7° 17' 3,29244",0.0,0.0,1200.0
1544191003422,N 51° 27' 17,59248",E 7° 17' 3,29244",0.0,0.0,1200.0
1544191008435,N 51° 27' 17,59248",E 7° 17' 3,29244",0.0,0.0,1200.0
1544191013448,N 51° 27' 17,59248",E 7° 17' 3,29244",0.0,0.0,1200.0
1544191018481,N 51° 27' 17,59248",E 7° 17' 3,29244",0.0,0.0,1200.0
1544191023503,N 51° 27' 17,59248",E 7° 17' 3,29244",0.0,0.0,1200.0
1544191028504,N 51° 27' 17,59248",E 7° 17' 3,29244",0.0,0.0,1200.0
1544191033520,N 51° 27' 17,59248",E 7° 17' 3,29244",0.0,0.0,1200.0
1544191043610,N 51° 27' 13,71492",E 7° 17' 8,33676",0.0,0.0,899.999
1544191048583,N 51° 27' 13,71492",E 7° 17' 8,33676",0.0,0.0,899.999
1544191053626,N 51° 27' 13,71492",E 7° 17' 8,33676",0.0,0.0,899.999
1544191058646,N 51° 27' 13,71492",E 7° 17' 8,33676",0.0,0.0,899.999
1544191063665,N 51° 27' 13,71492",E 7° 17' 8,33676",0.0,0.0,899.999
1544191068677,N 51° 27' 13,71492",E 7° 17' 8,33676",0.0,0.0,899.999
1544191073669,N 51° 27' 13,71492",E 7° 17' 8,33676",0.0,0.0,899.999
1544191078677,N 51° 27' 13,71492",E 7° 17' 8,33676",0.0,0.0,899.999
1544191083716,N 51° 27' 13,71492",E 7° 17' 8,33676",0.0,0.0,899.999
1544191088727,N 51° 27' 13,71492",E 7° 17' 8,33676",0.0,0.0,899.999
1544191093766,N 51° 27' 3,64284",E 7° 16' 20,244",0.0,0.0,899.999
1544191098780,N 51° 27' 13,71492",E 7° 17' 8,33676",0.0,0.0,899.999
1544191103779,N 51° 27' 13,71492",E 7° 17' 8,33676",0.0,0.0,899.999
1544191108782,N 51° 27' 13,71492",E 7° 17' 8,33676",0.0,0.0,899.999
1544191113805,N 51° 27' 13,71492",E 7° 17' 8,33676",0.0,0.0,899.999
1544191118823,N 51° 27' 13,71492",E 7° 17' 8,33676",0.0,0.0,899.999
1544191123856,N 51° 27' 13,71492",E 7° 17' 8,33676",0.0,0.0,899.999
1544191128864,N 51° 27' 13,71492",E 7° 17' 8,33676",0.0,0.0,899.999
1544191133865,N 51° 27' 13,71492",E 7° 17' 8,33676",0.0,0.0,899.999
1544191138918,N 51° 27' 13,71492",E 7° 17' 8,33676",0.0,0.0,899.999
1544191143894,N 51° 27' 13,71492",E 7° 17' 8,33676",0.0,0.0,899.999
1544191148907,N 51° 27' 13,71492",E 7° 17' 8,33676",0.0,0.0,899.999
1544191153945,N 51° 26' 36,33648",E 7° 16' 0,9804",0.0,0.0,899.999
1544191158951,N 51° 27' 13,71492",E 7° 17' 8,33676",0.0,0.0,899.999
1544191164040,N 51° 26' 36,33648",E 7° 16' 0,9804",0.0,0.0,899.999
1544191168996,N 51° 26' 36,33648",E 7° 16' 0,9804",0.0,0.0,899.999
